geo_point_2d,geo_shape,common_nam,scientific,location,start_date,survey_tim,search,accuracy_d,gps_used,lga,species_nu,long,lat
"-38.1775000010571, 144.35277999822387","{""coordinates"": [144.35277999822387, -38.1775000010571], ""type"": ""Point""}",Little Grassbird,Megalurus gramineus,Belmont Common,16/04/2001,20 min,2-ha search,100m,GPS used,City of Greater Geelong,522,144.35278,-38.1775
"-38.14361000116065, 144.31749999826914","{""coordinates"": [144.31749999826914, -38.14361000116065], ""type"": ""Point""}",Hoary-headed Grebe,Poliocephalus poliocephalus,"Zillah Craucour Park, Newto",23/07/2001,2-6 hrs,Area search <5 km,100m,GPS used,City of Greater Geelong,62,144.3175,-38.14361
"-38.14999999989844, 144.30416999901183","{""coordinates"": [144.30416999901183, -38.14999999989844], ""type"": ""Point""}",Laughing Kookaburra,Dacelo novaeguineae,"Buckley Falls, Barwon River",22/12/2001,2-6 hrs,Area search <5 km,100m,GPS used,City of Greater Geelong,322,144.30417,-38.15
"-38.14999999989844, 144.30416999901183","{""coordinates"": [144.30416999901183, -38.14999999989844], ""type"": ""Point""}",Superb Fairy-wren,Malurus cyaneus,"Buckley Falls, Barwon River",22/12/2001,2-6 hrs,Area search <5 km,100m,GPS used,City of Greater Geelong,529,144.30417,-38.15
"-38.00806000001518, 144.28333999884174","{""coordinates"": [144.28333999884174, -38.00806000001518], ""type"": ""Point""}",Pacific Black Duck,Anas superciliosa,Geelong - Ballan Road,3/12/2000,20-30 min,Area search <5 km,100m,GPS used,City of Greater Geelong,208,144.28334,-38.00806
"-38.21805999976588, 144.54361000033487","{""coordinates"": [144.54361000033487, -38.21805999976588], ""type"": ""Point""}",Masked Lapwing,Vanellus miles,Grubb Road & Swan Bay Road,9/12/2000,1-2 hrs,Area search <500 m,100m,GPS used,City of Greater Geelong,133,144.54361,-38.21806
"-38.27499999960521, 144.4999999994793","{""coordinates"": [144.4999999994793, -38.27499999960521], ""type"": ""Point""}",Common Myna,Acridotheres tristis,Ocean Grove Foreshore Reser,21/12/2001,>12 hrs,2-ha search,within 500m,,City of Greater Geelong,998,144.5,-38.275
"-37.94999999995856, 144.42500000123985","{""coordinates"": [144.42500000123985, -37.94999999995856], ""type"": ""Point""}",White-necked Heron,Ardea pacifica,You Yangs Regional Park,22/10/2001,6-12 hrs,Area search <5 km,100m,,City of Greater Geelong,189,144.425,-37.95
"-37.94999999995856, 144.42500000123985","{""coordinates"": [144.42500000123985, -37.94999999995856], ""type"": ""Point""}",Scarlet Robin,Petroica multicolor,You Yangs Regional Park,22/10/2001,6-12 hrs,Area search <5 km,100m,,City of Greater Geelong,380,144.425,-37.95
"-38.0041700008046, 144.57750000165652","{""coordinates"": [144.57750000165652, -38.0041700008046], ""type"": ""Point""}",Wood Sandpiper,Tringa glareola,Werribee Western Treatment,3/11/2001,2-6 hrs,Area search <5 km,100m,GPS used,City of Greater Geelong,154,144.5775,-38.00417
"-38.24027999851179, 144.47721999850356","{""coordinates"": [144.47721999850356, -38.24027999851179], ""type"": ""Point""}",Noisy Miner,Manorina melanocephala,Lake Connewarre,11/04/2000,30-60 min,Area search <500 m,100m,GPS used,City of Greater Geelong,634,144.47722,-38.24028
"-38.24027999851179, 144.47721999850356","{""coordinates"": [144.47721999850356, -38.24027999851179], ""type"": ""Point""}",Willie Wagtail,Rhipidura leucophrys,Lake Connewarre,11/04/2000,30-60 min,Area search <500 m,100m,GPS used,City of Greater Geelong,364,144.47722,-38.24028
"-38.15778000039642, 144.4438899998573","{""coordinates"": [144.4438899998573, -38.15778000039642], ""type"": ""Point""}",Skylark,Alauda arvensis,"Hays Road, Moolap",15/11/2001,2-6 hrs,Area search <5 km,within 500m,GPS used,City of Greater Geelong,993,144.44389,-38.15778
"-38.15778000039642, 144.4438899998573","{""coordinates"": [144.4438899998573, -38.15778000039642], ""type"": ""Point""}",Hoary-headed Grebe,Poliocephalus poliocephalus,"Hays Road, Moolap",29/11/2001,2-6 hrs,Area search <5 km,100m,GPS used,City of Greater Geelong,62,144.44389,-38.15778
"-38.15778000039642, 144.4438899998573","{""coordinates"": [144.4438899998573, -38.15778000039642], ""type"": ""Point""}",Great Egret,Ardea alba,"Hays Road, Moolap",29/11/2001,2-6 hrs,Area search <5 km,100m,GPS used,City of Greater Geelong,187,144.44389,-38.15778
"-38.156940000676684, 144.33055000123528","{""coordinates"": [144.33055000123528, -38.156940000676684], ""type"": ""Point""}",Spotted Pardalote,Pardalotus punctatus,Newtown,16/04/2001,6-12 hrs,Area search <500 m,100m,GPS used,City of Greater Geelong,565,144.33055,-38.15694
"-38.156940000676684, 144.33055000123528","{""coordinates"": [144.33055000123528, -38.156940000676684], ""type"": ""Point""}",Red Wattlebird,Anthochaera carunculata,Newtown,16/04/2001,6-12 hrs,Area search <500 m,100m,GPS used,City of Greater Geelong,638,144.33055,-38.15694
"-38.156940000676684, 144.33055000123528","{""coordinates"": [144.33055000123528, -38.156940000676684], ""type"": ""Point""}",Rainbow Lorikeet,Trichoglossus haematodus,Newtown,16/05/2001,6-12 hrs,Area search <500 m,100m,GPS used,City of Greater Geelong,254,144.33055,-38.15694
