Common Name,Scientific Name,Count,Reporting Rate
Ostrich,Struthio camelus,54,0.00%
Southern Cassowary,Casuarius casuarius,2348,0.07%
Emu,Dromaius novaehollandiae,37415,1.09%
Magpie Goose,Anseranas semipalmata,44818,1.30%
Spotted Whistling-Duck,Dendrocygna guttata,457,0.01%
Plumed Whistling-Duck,Dendrocygna eytoni,31202,0.91%
Wandering Whistling-Duck,Dendrocygna arcuata,21882,0.64%
Blue-billed Duck,Oxyura australis,37764,1.10%
Pink-eared Duck,Malacorhynchus membranaceus,61407,1.79%
Cape Barren Goose,Cereopsis novaehollandiae,18711,0.54%
Black Swan,Cygnus atratus,298742,8.69%
Mute Swan,Cygnus olor,766,0.02%
Canada Goose,Branta canadensis,17,0.00%
Radjah Shelduck,Radjah radjah,16201,0.47%
Australian Shelduck,Tadorna tadornoides,115619,3.36%
Paradise Shelduck,Tadorna variegata,8,0.00%
Hardhead,Aythya australis,164475,4.79%
Garganey,Spatula querquedula,19,0.00%
Australasian Shoveler,Spatula rhynchotis,71474,2.08%
Northern Shoveler,Spatula clypeata,199,0.01%
Eurasian Wigeon,Mareca penelope,3,0.00%
Pacific Black Duck,Anas superciliosa,615263,17.91%
Mallard,Anas platyrhynchos,13565,0.39%
Grey Teal,Anas gracilis,309254,9.00%
Chestnut Teal,Anas castanea,235434,6.85%
Northern Pintail,Anas acuta,30,0.00%
Common Teal,Anas crecca,10,0.00%
Freckled Duck,Stictonetta naevosa,17340,0.50%
Musk Duck,Biziura lobata,65280,1.90%
Australian Wood Duck,Chenonetta jubata,403193,11.73%
Cotton Pygmy-goose,Nettapus coromandelianus,5330,0.16%
Green Pygmy-goose,Nettapus pulchellus,13292,0.39%
Australian Brush-turkey,Alectura lathami,84837,2.47%
Malleefowl,Leipoa ocellata,2393,0.07%
Orange-footed Scrubfowl,Megapodius reinwardt,30898,0.90%
Helmeted Guineafowl,Numida meleagris,2996,0.09%
California Quail,Callipepla californica,135,0.00%
Indian Peafowl,Pavo cristatus,1214,0.04%
Stubble Quail,Coturnix pectoralis,13844,0.40%
Brown Quail,Synoicus ypsilophorus,43048,1.25%
King Quail,Synoicus chinensis,1272,0.04%
Red Junglefowl,Gallus gallus,286,0.01%
Green Junglefowl,Gallus varius,71,0.00%
Common Pheasant,Phasianus colchicus,681,0.02%
Wild Turkey,Meleagris gallopavo,251,0.01%
Little Grebe,Tachybaptus ruficollis,12,0.00%
Australasian Grebe,Tachybaptus novaehollandiae,238757,6.95%
Hoary-headed Grebe,Poliocephalus poliocephalus,123763,3.60%
Great Crested Grebe,Podiceps cristatus,33965,0.99%
Rock Dove,Columba livia,194850,5.67%
White-headed Pigeon,Columba leucomela,32506,0.95%
Barbary Dove,Streptopelia roseogrisea,249,0.01%
Red Turtle-Dove,Streptopelia tranquebarica,2,0.00%
Spotted Dove,Spilopelia chinensis,379686,11.05%
Laughing Dove,Spilopelia senegalensis,52132,1.52%
Brown Cuckoo-Dove,Macropygia phasianella,62389,1.82%
Wonga Pigeon,Leucosarcia melanoleuca,46882,1.36%
Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,499,0.01%
White-quilled Rock-Pigeon,Petrophassa albipennis,1426,0.04%
Spinifex Pigeon,Geophaps plumifera,7771,0.23%
Squatter Pigeon,Geophaps scripta,5878,0.17%
Partridge Pigeon,Geophaps smithii,726,0.02%
Common Bronzewing,Phaps chalcoptera,165218,4.81%
Brush Bronzewing,Phaps elegans,20497,0.60%
Flock Bronzewing,Phaps histrionica,1089,0.03%
Crested Pigeon,Ocyphaps lophotes,542510,15.79%
Diamond Dove,Geopelia cuneata,31298,0.91%
Peaceful Dove,Geopelia placida,226741,6.60%
Bar-shouldered Dove,Geopelia humeralis,205925,5.99%
Brown-capped Emerald-Dove,Chalcophaps longirostris,22207,0.65%
Grey-capped Emerald-Dove,Chalcophaps indica,94,0.00%
Blue-tailed Imperial-Pigeon,Ducula concinna,2,0.00%
Christmas Island Imperial-Pigeon,Ducula whartoni,194,0.01%
Collared Imperial-Pigeon,Ducula mullerii,92,0.00%
Torresian Imperial-Pigeon,Ducula spilorrhoa,34151,0.99%
Black-banded Fruit-Dove,Ptilinopus alligator,331,0.01%
Wompoo Fruit-Dove,Megaloprepia magnifica,23667,0.69%
Superb Fruit-Dove,Ptilinopus superbus,7109,0.21%
Rose-crowned Fruit-Dove,Ptilinopus regina,17931,0.52%
New Zealand Pigeon,Hemiphaga novaeseelandiae,1,0.00%
Topknot Pigeon,Lopholaimus antarcticus,25253,0.73%
Lesser Coucal,Centropus bengalensis,3,0.00%
Pheasant Coucal,Centropus phasianinus,69429,2.02%
Asian Koel,Eudynamys scolopaceus,32,0.00%
Eastern Koel,Eudynamys orientalis,95745,2.79%
Long-tailed Cuckoo,Urodynamis taitensis,1,0.00%
Channel-billed Cuckoo,Scythrops novaehollandiae,59361,1.73%
Horsfield's Bronze-Cuckoo,Chalcites basalis,62271,1.81%
Black-eared Cuckoo,Chalcites osculans,6216,0.18%
Shining Bronze-Cuckoo,Chalcites lucidus,75706,2.20%
Little Bronze-Cuckoo,Chalcites minutillus,17922,0.52%
Chestnut-breasted Cuckoo,Cacomantis castaneiventris,1136,0.03%
Fan-tailed Cuckoo,Cacomantis flabelliformis,134827,3.92%
Brush Cuckoo,Cacomantis variolosus,38865,1.13%
Pallid Cuckoo,Heteroscenes pallidus,45135,1.31%
Large Hawk-Cuckoo,Hierococcyx sparverioides,5,0.00%
Oriental Cuckoo,Cuculus optatus,1786,0.05%
Australian Bustard,Ardeotis australis,13022,0.38%
Marbled Frogmouth,Podargus ocellatus,830,0.02%
Papuan Frogmouth,Podargus papuensis,4001,0.12%
Tawny Frogmouth,Podargus strigoides,63524,1.85%
Spotted Nightjar,Eurostopodus argus,4246,0.12%
White-throated Nightjar,Eurostopodus mystacalis,3729,0.11%
Grey Nightjar,Caprimulgus jotaka,3,0.00%
Large-tailed Nightjar,Caprimulgus macrurus,3003,0.09%
Savanna Nightjar,Caprimulgus affinis,2,0.00%
Australian Owlet-nightjar,Aegotheles cristatus,25865,0.75%
Papuan Spine-tailed Swift,Mearnsia novaeguineae,4,0.00%
White-throated Needletail,Hirundapus caudacutus,26584,0.77%
Glossy Swiftlet,Collocalia esculenta,160,0.00%
Australian Swiftlet,Aerodramus terraereginae,17304,0.50%
Uniform Swiftlet,Aerodramus vanikorensis,24,0.00%
Fork-tailed Swift,Apus pacificus,6993,0.20%
House Swift,Apus nipalensis,29,0.00%
Red-necked Crake,Rallina tricolor,1606,0.05%
Lewin's Rail,Lewinia pectoralis,5055,0.15%
Chestnut Rail,Eulabeornis castaneoventris,634,0.02%
Lord Howe Woodhen,Hypotaenidia sylvestris,476,0.01%
Buff-banded Rail,Hypotaenidia philippensis,32220,0.94%
Australian Spotted Crake,Porzana fluminea,15237,0.44%
