"State","SBA","Species","Season","Year","peak_sort","International threshold","National threshold","Importance","Data source"
"WA","Albany","Grey Plover","summer",2017,75,750,75,"National","ASMP"
"WA","Albany","Sharp-tailed Sandpiper","summer",2020,159,1300,130,"National","ASMP"
"NT","Alice Springs Sewage Treatment Plant","Sharp-tailed Sandpiper","summer",2020,250,1300,130,"National","ASMP; incidental"
"QLD","Alma Saltworks","Curlew Sandpiper","summer",2011,585,1200,120,"National","QWSG; ASMP"
"QLD","Alma Saltworks","Marsh Sandpiper","summer",2014,150,1300,130,"National","QWSG; ASMP; incidental"
"QLD","Alma Saltworks","Red-necked Stint","summer",2010,1318,6000,600,"National","QWSG; ASMP"
"QLD","Alma Saltworks","Sharp-tailed Sandpiper","summer",2014,1000,1300,130,"National","QWSG; ASMP; incidental"
"QLD","Alva Beach","Curlew Sandpiper","summer",2021,815,1200,120,"National","QWSG; ASMP"
"QLD","Alva Beach","Far Eastern Curlew","summer",2022,47,350,35,"National","QWSG; ASMP"
"QLD","Alva Beach","Siberian Sand Plover","summer",2023,60,260,26,"National","QWSG; ASMP; incidental"
"QLD","Alva Beach","Marsh Sandpiper","summer",2021,491,1300,130,"National","QWSG; ASMP"
"QLD","Alva Beach","Pacific Golden Plover","summer",2022,424,1500,150,"National","QWSG; ASMP"
"QLD","Alva Beach","Red-necked Stint","summer",2021,3672,6000,600,"National","QWSG; ASMP"
"QLD","Alva Beach","Sharp-tailed Sandpiper","summer",2021,1500,1300,130,"International","QWSG; ASMP"
"VIC","Anderson Inlet","Far Eastern Curlew","summer",2011,155,350,35,"National","ASMP"
"VIC","Anderson Inlet","Red-necked Stint","summer",2010,2690,6000,600,"National","ASMP"
"VIC","Anderson Inlet","Sharp-tailed Sandpiper","summer",2018,500,1300,130,"National","ASMP"
"NT","Anson Bay, Daly & Reynolds River Floodplains","Bar-tailed Godwit","summer",2012,639,3750,375,"National","Chatto (2012)"
"NT","Anson Bay, Daly & Reynolds River Floodplains","Great Knot","summer",2012,1868,4000,400,"National","Chatto (2012)"
"NT","Anson Bay, Daly & Reynolds River Floodplains","Terek Sandpiper","summer",2011,272,750,75,"National","Chatto (2012)"
"QLD","Armstrong Beach","Bar-tailed Godwit","summer",2018,585,3750,375,"National","QWSG; ASMP"
"QLD","Armstrong Beach","Far Eastern Curlew","summer",2013,66,350,35,"National","QWSG; ASMP"
"QLD","Armstrong Beach","Great Knot","summer",2023,1495,4000,400,"National","QWSG; ASMP"
"SA","BHP Saltfields","Curlew Sandpiper","summer",2021,200,1200,120,"National","ASMP"
"SA","BHP Saltfields","Red-necked Stint","summer",2023,2000,6000,600,"National","ASMP"
"SA","BHP Saltfields","Sharp-tailed Sandpiper","summer",2023,1100,1300,130,"National","ASMP"
"SA","Baird Bay","Curlew Sandpiper","summer",2011,290,1200,120,"National","ASMP"
"SA","Baird Bay","Grey Plover","summer",2011,288,750,75,"National","ASMP"
"SA","Baird Bay","Red Knot","summer",2011,360,1300,130,"National","ASMP"
"SA","Baird Bay","Red-necked Stint","summer",2023,1307,6000,600,"National","ASMP"
"SA","Baird Bay","Ruddy Turnstone","summer",2011,83,300,30,"National","ASMP"
"SA","Baird Bay","Sanderling","summer",2024,43,300,30,"National","ASMP"
"SA","Baird Bay","Sharp-tailed Sandpiper","summer",2023,615,1300,130,"National","ASMP"
"WA","Bannitup Lake","Red-necked Stint","summer",2022,2000,6000,600,"National","ASMP"
"WA","Bannitup Lake","Sharp-tailed Sandpiper","summer",2023,225,1300,130,"National","ASMP"
"WA","Barrow Island","Bar-tailed Godwit","summer",2023,386,3750,375,"National","ASMP"
"WA","Barrow Island","Greater Sand Plover","summer",2023,987,1400,140,"National","ASMP"
"WA","Barrow Island","Grey Plover","summer",2023,79,750,75,"National","ASMP"
"WA","Barrow Island","Grey-tailed Tattler","summer",2023,1663,800,80,"International","ASMP"
"WA","Barrow Island","Siberian Sand Plover","summer",2023,351,260,26,"International","ASMP"
"WA","Barrow Island","Red-necked Stint","summer",2013,2192,6000,600,"National","ASMP"
"WA","Barrow Island","Ruddy Turnstone","summer",2023,645,300,30,"International","ASMP"
"WA","Barrow Island","Sanderling","summer",2023,86,300,30,"National","ASMP"
"VIC","Begola","Latham's Snipe","summer",2017,98,350,18,"National","Latham's Snipe Project; ASMP"
"WA","Bibra and Thompsons Lakes Reserves","Sharp-tailed Sandpiper","summer",2011,850,1300,130,"National","ASMP; incidental"
"VIC","Black Rocks/Breamlea","Red-necked Stint","summer",2017,800,6000,600,"National","ASMP; incidental"
"VIC","Black Rocks/Breamlea","Sharp-tailed Sandpiper","summer",2019,204,1300,130,"National","ASMP"
"QLD","Blacks Beach","Far Eastern Curlew","summer",2012,50,350,35,"National","QWSG; ASMP"
"QLD","Blacks Beach","Grey-tailed Tattler","summer",2017,120,800,80,"National","QWSG; ASMP; incidental"
"QLD","Blacks Beach","Siberian Sand Plover","summer",2024,45,260,26,"National","QWSG; ASMP"
"QLD","Blacks Beach","Ruddy Turnstone","summer",2017,85,300,30,"National","QWSG; ASMP; incidental"
"QLD","Blacks Beach","Whimbrel","summer",2023,115,900,90,"National","QWSG; ASMP"
"WA","Blackwood Estuary","Sanderling","summer",2022,111,300,30,"National","ASMP; incidental"
"NSW","Botany Bay","Bar-tailed Godwit","summer",2011,403,3750,375,"National","ASMP"
"NSW","Botany Bay","Far Eastern Curlew","summer",2011,219,350,35,"National","ASMP"
"NSW","Botany Bay","Ruddy Turnstone","summer",2021,50,300,30,"National","ASMP; incidental"
"NT","Boucaut Bay","Bar-tailed Godwit","summer",2011,1045,3750,375,"National","Chatto (2012)"
"NT","Boucaut Bay","Black-tailed Godwit","summer",2012,1797,2300,230,"National","Chatto (2012)"
"NT","Boucaut Bay","Great Knot","summer",2012,7501,4000,400,"International","Chatto (2012)"
"NT","Boucaut Bay","Greater Sand Plover","summer",2011,1315,1400,140,"National","Chatto (2012)"
"NT","Boucaut Bay","Siberian Sand Plover","summer",2011,39,260,26,"National","Chatto (2012)"
"NT","Boucaut Bay","Red-necked Stint","summer",2011,1548,6000,600,"National","Chatto (2012)"
"NT","Boucaut Bay","Ruddy Turnstone","summer",2011,64,300,30,"National","Chatto (2012)"
"NT","Boucaut Bay","Terek Sandpiper","summer",2012,105,750,75,"National","Chatto (2012)"
"QLD","Bowling Green Bay","Bar-tailed Godwit","summer",2011,400,3750,375,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Black-tailed Godwit","summer",2015,1400,2300,230,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Curlew Sandpiper","summer",2011,573,1200,120,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Far Eastern Curlew","summer",2018,100,350,35,"National","QWSG; ASMP; incidental"
"QLD","Bowling Green Bay","Great Knot","summer",2012,2850,4000,400,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Greater Sand Plover","summer",2013,900,1400,140,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Grey Plover","summer",2021,121,750,75,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Siberian Sand Plover","summer",2012,330,260,26,"International","QWSG; ASMP"
"QLD","Bowling Green Bay","Pacific Golden Plover","summer",2013,410,1500,150,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Red Knot","summer",2011,251,1300,130,"National","QWSG; ASMP"
"QLD","Bowling Green Bay","Red-necked Stint","summer",2011,6403,6000,600,"International","QWSG; ASMP"
"QLD","Bowling Green Bay","Sharp-tailed Sandpiper","summer",2012,1488,1300,130,"International","QWSG; ASMP"
"QLD","Bowling Green Bay","Whimbrel","summer",2017,90,900,90,"National","QWSG; ASMP; incidental"
"QLD","Broadsound","Far Eastern Curlew","summer",2014,599,350,35,"International","QWSG; ASMP"
"QLD","Broadsound","Great Knot","summer",2022,1170,4000,400,"National","QWSG; ASMP"
"QLD","Broadsound","Greater Sand Plover","summer",2011,400,1400,140,"National","QWSG; ASMP; incidental"
"QLD","Broadsound","Siberian Sand Plover","summer",2013,52,260,26,"National","QWSG; ASMP; incidental"
"QLD","Broadsound","Red Knot","summer",2011,603,1300,130,"National","QWSG; ASMP; incidental"
"QLD","Broadsound","Red-necked Stint","summer",2020,674,6000,600,"National","QWSG; ASMP"
"QLD","Broadsound","Sharp-tailed Sandpiper","summer",2012,300,1300,130,"National","QWSG; ASMP; incidental"
"QLD","Broadsound","Whimbrel","summer",2022,235,900,90,"National","QWSG; ASMP"
"WA","Broadwater (Busselton)","Red-necked Stint","summer",2014,630,6000,600,"National","ASMP"
"WA","Broadwater (Busselton)","Sharp-tailed Sandpiper","summer",2014,887,1300,130,"National","ASMP"
"WA","Broome Beaches","Curlew Sandpiper","summer",2017,300,1200,120,"National","ASMP; incidental"
"WA","Broome Beaches","Great Knot","summer",2018,500,4000,400,"National","ASMP; incidental"
"WA","Broome Beaches","Greater Sand Plover","summer",2017,400,1400,140,"National","ASMP; incidental"
"WA","Broome Beaches","Grey-tailed Tattler","summer",2017,500,800,80,"National","ASMP; incidental"
"WA","Broome Beaches","Siberian Sand Plover","summer",2017,150,260,26,"National","ASMP; incidental"
"WA","Broome Beaches","Red-necked Stint","summer",2016,1034,6000,600,"National","ASMP"
"WA","Broome Beaches","Ruddy Turnstone","summer",2019,30,300,30,"National","ASMP; incidental"
"WA","Broome Beaches","Sanderling","summer",2019,30,300,30,"National","ASMP; incidental"
"WA","Broome Beaches","Terek Sandpiper","summer",2017,150,750,75,"National","ASMP; incidental"
"NSW","Brunswick River Estuary","Latham's Snipe","summer",2015,25,350,18,"National","ASMP"
"QLD","Burdekin River delta","Bar-tailed Godwit","summer",2018,750,3750,375,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Broad-billed Sandpiper","summer",2018,150,450,45,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Curlew Sandpiper","summer",2018,500,1200,120,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Far Eastern Curlew","summer",2019,350,350,35,"International","QWSG; ASMP"
"QLD","Burdekin River delta","Great Knot","summer",2019,4120,4000,400,"International","QWSG; ASMP"
"QLD","Burdekin River delta","Greater Sand Plover","summer",2016,3236,1400,140,"International","QWSG; ASMP"
"QLD","Burdekin River delta","Grey Plover","summer",2019,260,750,75,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Grey-tailed Tattler","summer",2019,670,800,80,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Siberian Sand Plover","summer",2019,2350,260,26,"International","QWSG; ASMP"
"QLD","Burdekin River delta","Red Knot","summer",2019,650,1300,130,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Red-necked Stint","summer",2019,5150,6000,600,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Ruddy Turnstone","summer",2021,34,300,30,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Sanderling","summer",2021,36,300,30,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Sharp-tailed Sandpiper","summer",2019,2000,1300,130,"International","QWSG; ASMP"
"QLD","Burdekin River delta","Terek Sandpiper","summer",2019,680,750,75,"National","QWSG; ASMP"
"QLD","Burdekin River delta","Whimbrel","summer",2019,440,900,90,"National","QWSG; ASMP"
"QLD","Burnett River Estuary","Curlew Sandpiper","summer",2013,173,1200,120,"National","QWSG; ASMP"
"QLD","Burnett River Estuary","Far Eastern Curlew","summer",2017,59,350,35,"National","QWSG; ASMP"
"QLD","Burnett River Estuary","Sharp-tailed Sandpiper","summer",2015,1202,1300,130,"National","QWSG; ASMP"
"QLD","Burrum River Estuary","Far Eastern Curlew","summer",2021,110,350,35,"National","QWSG; ASMP; incidental"
"QLD","Burrum River Estuary","Siberian Sand Plover","summer",2016,60,260,26,"National","QWSG; ASMP"
"QLD","Bustard Bay","Far Eastern Curlew","summer",2011,65,350,35,"National","QWSG; ASMP; incidental"
"QLD","Bustard Bay","Siberian Sand Plover","summer",2011,200,260,26,"National","QWSG; ASMP; incidental"
"QLD","Bustard Bay","Whimbrel","summer",2011,129,900,90,"National","QWSG; ASMP; incidental"
"NSW","Byron","Latham's Snipe","summer",2013,30,350,18,"National","ASMP; incidental"
"QLD","Cairns area","Far Eastern Curlew","summer",2010,52,350,35,"National","QWSG; ASMP"
"QLD","Cairns area","Great Knot","summer",2021,478,4000,400,"National","QWSG; ASMP"
"QLD","Cairns area","Grey-tailed Tattler","summer",2010,243,800,80,"National","QWSG; ASMP"
"QLD","Cairns area","Siberian Sand Plover","summer",2023,109,260,26,"National","QWSG; ASMP"
"QLD","Cairns area","Red-necked Stint","summer",2023,700,6000,600,"National","QWSG; ASMP"
"QLD","Cairns area","Sharp-tailed Sandpiper","summer",2020,800,1300,130,"National","QWSG; ASMP"
"QLD","Cairns area","Whimbrel","summer",2023,606,900,90,"National","QWSG; ASMP"
